2018-09-15 12:25:44: m4690.jfernandorojasc-gmail-com.goodsync is REMOTE, trying DIRECT at 213.136.67.9:33333
2018-09-15 12:25:45: MustRetry after Recv: Recv: [requesting Digest auth]: 
2018-09-15 12:25:46: -- Análisis iniciado por On File Change Incremental
2018-09-15 12:25:58: Cambios: 61, Conflictos: 0, CopiaFecha: 0, CopiaEstado: 0, Errores: 0, All: 927
2018-09-15 12:25:58: Right to Left: Copy File: 61 
2018-09-15 12:27:13: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/README.md' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/README.md' (15.916)
2018-09-15 12:27:15: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/SECURITY.md' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/SECURITY.md' (3.935)
2018-09-15 12:27:16: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/src/Exception.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src/Exception.php' (1.214)
2018-09-15 12:27:17: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/src/OAuth.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src/OAuth.php' (3.744)
2018-09-15 12:27:22: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/src/PHPMailer.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src/PHPMailer.php' (154.414)
2018-09-15 12:27:23: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/src/POP3.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src/POP3.php' (11.031)
2018-09-15 12:27:25: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/src/SMTP.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src/SMTP.php' (42.850)
2018-09-15 12:27:27: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/VERSION' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/VERSION' (5)
2018-09-15 12:27:30: == Sinc. Completa. Tiempo: 00:01:32, Velocidad: 7,69 KB/s, OK: 61, Errores: 0
2018-09-15 12:27:30: 
